REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE,UNIT_TYPE_ID,UNIT_TYPE_NAME
AFG,Afghanistan,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,4.06481063940635,RATIO,Ratio
AFG,Afghanistan,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ALB,Albania,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.82370139439807,RATIO,Ratio
ALB,Albania,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
DZA,Algeria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,20.8550716861788,RATIO,Ratio
DZA,Algeria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
AGO,Angola,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,2.98275340321694,RATIO,Ratio
AGO,Angola,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ARG,Argentina,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,7.47683287399691,RATIO,Ratio
ARG,Argentina,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
ARM,Armenia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,5.06699479006468,RATIO,Ratio
ARM,Armenia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
AUS,Australia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,1.93081062145953,RATIO,Ratio
AUS,Australia,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
AUT,Austria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,PT_GDP,Percentage of GDP,2015,0.753271061584265,RATIO,Ratio
AUT,Austria,IMF_FFS_ECGFT,Fossil Fuel Subsidies - Total Implicit and Explicit,USD_K_2021,"US dollars, 2021 constant prices",2015,359194977.30610085,CUR,Currency
